ResponseID,Topic,Transcription
448,"Embracing Humanai Partnerships By Construction Of A Modular
Neural Network For Safe Timely Development Of Ai","In The Pursuit Of Safe And Responsible Ai Development Modular Neural Networks Mnn Have
Emerged As A Promising Ai Architecture Augmenting Capabilities In Humanai Partnerships
Mitigating Risk Profiles While Keeping An Efficient Open Network It Is Proposed That The
Australian Government Through The Department Of Industry Science And Resources Develop Its
Own Mnn With Help And Guidance From Many Industry Experts And Developers In So Doing The
Department Can Meet The Rapidly Growing Need For Safe Ethical Ai Development And Fulfill
Obligations Without A Need For An Everincreasing Resource The Launching Of The Platform Will Act
As A Catalyst To Create A Societal Wide Ecosystem That Will Promote Trust In Ai Systems And
Through Open Collaboration Be Able To Evolve Processes To Match Accelerating Developmental
Needs This Document Outlines Some Beneficial Aspects And Steps To Be Taken To Ensure The
Department Can Start Simply While Building A Lowrisk Collaborative Platform To Assist And Guide
All Aspects Of Safe Ai Development 1 Ai Supported Selfservice Applications Will Do The Heavy Lifting And Help Align Different Perspectives
Through Common Language And Translation
2 The Platform Will Leverage Industry Interest The Need For Compliance To Regulation And A Group Of
Passionate Advocates That Have Been Collectively Amassing A Knowledge Based Suited To The Needs Of
Future Growth
3 Incorporation Of Risk Analysis And Mitigation Principles In Alignment With Ai Capabilities Can
Ensure A Secure Environment For Stakeholders
4 Collaboration Between Government Bodies Industry Partners And Research Institutions Can
Facilitate The Exchange Of Knowledge Resources And Expertise Streamlining The Ai Development
Process
5 Training Programs And Educational Initiatives Will Be Instrumental In Nurturing Ai Literacy And
Fostering A Culture Of Responsible Ai Usage
6 As The Deployment Of Large Language Models And Generative Ai Becomes More Accessible And
Seamless The Opportunity To Align Human And Ai Capabilities Will Further Augment Outcomes
7 Task Displacement And Resource Realignment Can Be Strategically Managed To Optimize
Productivity And Efficiency
8 The Capacity To Integrate Ai Systems Into Existing Processes Will Pave The Way For Swift And
Efficient Implementation9 Building A Governmenthosted Ai Platform Will Act As A Catalyst For Innovation And Collective
Progress By Bringing Together The Expertise Of Diverse Stakeholders
Page 3 Of 16
10 The Development Process Can Be Enriched And Ai Applications Tailored To Address Specific
Challenges Faced By Industries And Organizations
11 A Collaborative Approach Will Ensure That The Platform Is Comprehensive Able To Streamline
Regulatory Compliance And Be Future Proof
12 Encouraging Dialogue On Ai Ethics Safety And Best Practices Will Inspire Trust And Public
Acceptance Moreover By Adhering To Basic Safety Principles And Hazard Analysis The Governmenthosted Ai Will Promote Transparency Ethical Conduct And The Responsible Deployment Of Ai
Technologies
13 Embracing Collaborative Efforts In Developing A Governmenthosted Ai Platform Is The Gateway To
A Future Of Safe Ethical And Efficient Ai Applications 14 By Pooling Resources Fostering Partnerships And Investing In Education The Government Can
Lead The Way Towards Unlocking The Full Potential Of Ai While Ensuring Its Responsible Integration
Within The Society And Industries
The Benefits Of Such A Decision Are Vast From Improved Safety And Productivity To Innovative
Solutions That Positively Impact The Nation And The World At Large Please Read The Full Document As
There Are Many Considerations That Require Simple First Steps I Sincerely Hope That This Helps
Formulate Decisions And Would Very Much Like To Further Consult With Development Unpredictability
In Ai Development Can Be If Not Foreseen Then Catastrophic Risks Mitigated"
447,Anonymous,"Including Adm Is Very Useful But I Think It Needs To Be Highlighted In Any Description Of Ai I Am Mindful That There Is A Public And Media Perception That Robodebt Was Ai However In The Commission Experts Disagreed With That Definition We Need To Ensure That Such A Debate Does Not Undermine Any Attempts At Providing Safety I Think The Risk Descriptions Used By The Eu Are Helpful As To What Is Included In Ai And Its Harms What Potential Risks From Ai Are Not Covered By Australia’S Existing Regulatory Approaches Do You Have Suggestions For Possible Regulatory Action To Mitigate These Risks

I Do Not Believe That The Risks To Human Rights Are Articulated Clearly Enough I Was Surprised That Robodebt Did Not Feature As A Learning Opportunity In This Discussion Paper I Noted That A Reporter Asked The Minister In The Early Announcement About The Inclusion Of Robodebt The Ahrc Technology Report 2021 Quoted In The Discussion Paper Sets Out The Harms Of Robdebt And Provides A Series Of Recommendations That I Think Warrant A Review And Comment The Current Regulatory Approach Gives A Cursory Nod To Human Rights Which I Believe Are Not Protected Adequately In The Current Framework The Paper I Have Attached Provides Evidence That Human Rights Were Violated The Government Upholding The Right To Dignity For All Its Citizens Is Surely An Appropriate Place To Start For Projects That Will Use Personal Information And Impact Their Quality Of Life Like The Ahrc Report I Believe Human Rights Are An Appropriate Place To Start Discussions About Strengthening Regulatory Approaches Whilst Engaging Commercial Interests"
446,"Submission In Response To Safe And Responsible Ai In Australia Discussion Paper
Dr Theresa Kd Anderson Connecɵng Stones Consulɵng
Ruth Marshall Hocone Pty Limited","In This Submission We Wish To Flag Five Key Areas We Believe Need Greater Emphasis As Part Of The
Government’S Consideraɵon Of Regulatory And Governance Frameworks For Responsible Ai
 Misuse
 Data Quality
 Inappropriate Use
 Legiɵmacy
 Trustbuilding Acɵviɵes
The Dynamics Of Ai Innovaɵons Must Be Managed With Full Appreciaɵon Of The Parɵculars Of Australia’S
Sociopoliɵcal Context In Our View This Means Puƫng The Principles Of Safe And Responsible Ai Into
Pracɵce To Miɵgate The Potenɵal Risks From Ai And Adm In The Form Of Evolving Documents And
Processes Ai Developments To Date Have Shown That Many Dynamics And Oōen Unintended Impacts
Will Only Come To Light Through Use We Will Therefore Need Robust Review Procedures In Place That Can
Dynamically Inform Our Regulatory And Governance Frameworks
While Global Focus On The Potenɵal Harms Of Ai Is Driving An Interest And Enthusiasm Of Benevolent
Actors To Ensure They Develop Ai Responsibly It Must Be Acknowledged That Like Spliƫng The Atom Ai
Can Be Used To Harm As Well As Help An Important Aspect Of Safe And Responsible Ai Should Include
Taking Measures To Prevent Powerful Ai Tools From Geƫng Into The Wrong Hands Or Being Adapted To
Unethical Purposes There Is An Argument That The Horse Has Already Bolted On This Front But We
Disagree Though We Can’T Undo The Past Ai Research Will Conɵnue And New Innovaɵons In And
Applicaɵons Of Ai Will Conɵnue To Be Deployed So New Ways Of Prevenɵng It’S Use By Bad Actors Or
Amelioraɵng Its Harm Must Be Developed Alongside
We Also Wish To Emphasise That Building Trust Takes More Than Technology Systems Or Regulatory
Frameworks While Guidance In These Areas Is Important For Demonstraɵng Trustworthiness Building
Public Trust In Relaɵon To The Use Of Emerging Ai Technologies At Its Heart Is About Human Connecɵon
Trust Is A Local And Contextual Judgement That Is Shaped By Personal Experiences Both Posiɵve And
Destrucɵve And Yet Trustbuilding Requires A Collecɵve Effort As No One Sector Or Advocate Can Be Expected To Carry Responsibility Equally Important Is Creaɵng An Ai Ecosystem Building On Australia’S
Recognized Strengths In Governance And Civil Society Advocacy For Responsible Ai Doing So Would
Contribute To The Ongoing And Genuine Engagement With The Community Necessary To Increase Public
Trust And Confidence In The Development And Use Of Such Technologies"
445,"Public Consultation On Safe And Responsible Ai In Australia
Submission From The Ardc","The Ardc Welcomes The Opportunity To Contribute Comments For The Public Consultation On Safe
And Responsible Ai In Australia Both The Discussion Paper And The Rapid Response Information
Report Generative Ai Language Models And Multimodal Foundation Models Provide A Helpful
Introduction To Emerging Artificial Intelligence Systems And The Challenges Risks And
Opportunities Posed By The Application Of These Technologies Below We Offer Responses To
Selected Consultation Questions And Put Forward Our Set Of Recommendations2 What Potential Risks From Ai Are Not Covered By Australia’S Existing Regulatory Approaches
Do You Have Suggestions For Possible Regulatory Action To Mitigate These Risks
There Is No Enforceable Aispecific Regulation In Australia As Discussed In The Nstc Report And
Discussion Paper Australian Laws Can Be Applied To Address Some Of The Risks Posed By Ai Eg
Privacy Laws Data Sharing And Personal Info In Training Data Consumer Protection Laws Product
Liability Obligations And Claims Copyright And Intellectual Property Laws Contents Used By
Genais And Antidiscrimination Laws Bias In Decision Making And Exclusiondenials While
These Laws Provide Protection As Described Above There Is No Single Integrated Law That
Addresses Ai Specifically Can Existing Laws Be Applied Or Adapted To Meet The Regulatory
Challenges Posed By Ai Or Should The Government Introduce New Overarching Regulations For Ai
In Particular In The Process Of Addressing These Questions It Will Be Necessary To Avoid Ai
Exceptionalism ‘The Idea That Ai Is Riskier Or Requires Greater Protection Just Because It Is Ai’ 1
Furthermore We Emphasize The Need To Examine The Unique Characteristics Of Ai As A
Sociotechnical System The Capability Of Ai As An Actor Cognizant Or Not And The Risk Profile That
Arises Due To These Features Other Examples Of Gaps Include The Lack Of Clear Articulation Of
Responsibilities And The Lack Of Legal Mechanisms For An Affected Individual To Access Information
Regarding An Algorithm When Seeking Redress"
444,Decodedai,"We Are An Ai Audit And Security Company That Has Over A Decade Of Experience In Building Reliable Ai And As Such Have An Internal Riskbased Definition Of It That We Can Share To Help Identify A Future Regulatory Direction And Which We Use To Derisk Ai Systems

By Defining An Ai System Technocentrically As Something Which ‘Generates Predictive Outputs’ For ‘Humandefined Objectives Or Parameters’ The Isobased Proposal

1 Potentially Restricts Alternative Definitions That Lend Themselves Better To Responsible Ai Principles For Example In The Us There Are Legal Arguments Being Made In The Courts That Gpts Are A Queryable Approximatenoisy Compression Of A Large Dataset Rather Than A Predictive System By Taking One Definition The Proposal Preemptively Settles Unsettled Ideas And Makes It More Challenging To Accept An Alternative Construction That May Become Obvious As These Systems Are Integrated Into Our Society
2 There Are Subtle Assertions In The Definition That Are Questionable For Example It Is Not Always The Case That “Generative Ai Models Generate Novel Content” Because They Are Capable Of Leaking Data Or Repeating Content From Their Training Dataset
3 As It Stands The Definition Is Plainly Circular Machine Learning Are The Patterns Derived From Training Data Using Machine Learning Algorithms”

Moreover The Isobased Proposal Does Not Advance Any Of The Other Objectives That We Believe Make A Good Definition Of Ai And Applies Significant Pressure On The Choice Of Words Used Because It Is Technocentric Rather Than Humancentric"
443,Michael Townsend,"The Definitions In Figure 1 Are Not Sufficiently Granular To Support Riskbased Consideration Of Different Kinds Of Ai Including The More Sophisticated And Powerful Ais

In Their Current State These Definitions Do Not Support A Nuanced Policy Conversation That Allows Differentiation Between Ai Models That Provide Economic Benefit Models That Raise Significant Ethical Concerns And Models That Raise Radical Safety Concerns

A Sophisticated Discussion Of Ai Requires An Understanding Of Additional Terms Like How Agentic Or Corrigible A Given Ai Is Adopting Isoiec 22989 1] Definitions Is The Wrong Approach To Framing A Conversation About Policy Law And Governance Because It Doesn’T Open The Door To The Big Questions We Need To Grapple With

The Foreword Itself To Isoiec 22989 Calls Out A Weakness Of The Definition Set For Purposes Like Those Being Pursued In This Paper Specifically The Standard Says It Is Currently Lacking Language For Comparing Ais In Terms Of Properties Like Trustworthiness Robustness Resilience Reliability Accuracy Safety Security And Privacy

These Are The Concepts We Need To Grapple With And Address The Ethical And Safety Questions We Are Facing And Design An Effective Regulatory Regime"
442,Rakesh Sharma Cyainse,"Do You Agree With The Definitions In This Discussion Paper If Not What Definitions Do You Prefer And Why

Yes I Agree With The Definitions In This Discussion Paper Definition Of Llms Can Be Refined As Follows
A Generative Ai That Specializes In Generating Humanlike Text Which Is Coherent And Contextually Relevant Based On The Input Received

What Potential Risks From Ai Are Not Covered By Australia’S Existing Regulatory Approaches Do You Have Suggestions For Possible Regulatory Action To Mitigate These Risks

Intellectual Property Is One Risk Which Should Also Be Covered By Australias Existing Regulatory Approaches Especially Related To Ai Aigenerated Content Such As Text Images And Music Can Lead To Questions Regarding Intellectual Property Rights And Ownership Training Data Collected By Organizations From Public Domains For Modeling Of Ai Systems May Involve Proprietary Or Copyright Protected Information
Existing Regulations May Require Updates To Ensure Proper Protection And Attribution For Aigenerated Works"
441,Guy Loucks,"Thank You For The Opportunity To Respond To Your Department’S Discussion Paper The Following Items
Focus Primarily On The Ethics And Principles Framework As These Feed Into The Foundation For A Sound
Coregulatory Framework And Governing Principles
• Human Societal And Environmental Wellbeing Ai Systems Should Benefit Individuals
Society And The Environment
On The Understanding That There Are Sufficient Actsregulations Around This – My Concern Of ‘Which
Individuals’ All Animals Are Equal Only Some Are More Equal Than Others Should Be Addressed
• Humancentred Values Ai Systems Should Respect Human Rights Diversity And The
Autonomy Of Individuals
On The Understanding That This Is For Australia Only – And Therefore Within The Concepts Of Our Culture
Democratic Governing Bodies And Laws As Is Captured Within The Australian Hrc As A Prime Example
• Privacy Protection And Security Ai Systems Should Respect And Uphold Privacy Rights And
Data Protection And Ensure The Security Of Data
A Start – Need To Add Words To Cover Copyright Issues Eg “Ai Accessing Copywrittenip Information Is
Held To The Same Laws As Any Human Accessing The Same Data And The Same Restitution Be Made” Or
Similar Transparency And Explainability There Should Be Transparency And Responsible Disclosure
So People Can Understand When They Are Being Significantly Impacted By Ai And Can Find Out
When An Ai System Is Engaging With Them
This Principle Suggests That The Burden Of Identifying When Interacting With An Ai System Lies With The
Human Rather Than The Ai This Is Not Appropriate Or Sufficient The Burden Must Be On The Ai To
Identify That They Are An Ai To Ensure All Humans Regardless Of Their Capacityculture Etc Are Fully
Aware That They Are Dealing With An Ai"
440,Re Safe And Responsible Ai Public Consultation Submission,"My Enclosed Submission Pertains To The Emergence Of Generative Ai Systems Their Potential Influence On The
Higher Education Sector I Would Like To Draw Particular Attention To The Delivery Of Equitable And Inclusive
Teaching And Learning Practices In The Humanities Arts And Social Sciences Hass Disciplines In The Shadow
Of Emergent Forms Of Ai
As An Academic And Media Artist Who Has Been Researching Digital Media And Cultures Of Automation For Over
Two Decades I View Recent Developments In Artificial Intelligence With Great Anticipation For Its
Unquestionable Benefits However I Also Hold Grave Concerns For Students And Educators In This Period Of
Rapid Unregulated Experimentation And Expeditated Deployment To Which I Would Like To Speak To In This
Submission Which Is In Two Parts
Attachment 01 – A Summary Of The Key Challenges Ahead For Higher Education More Generally
Attachment 02 – A Draft Discussion Paper Of Trends In The Delivery Of Hass Disciplines
In My Academic Role At The University Of Melbourne In Arts Teaching Innovation Ati My Main Focus Is Digital
Media Literacy And Education Futures As It Pertains To The Provision Of Teaching And The Design Of Curricula I
Therefore See The Hass Domain As Playing An Important Role Going Forward – Along With Its Various Challenges
And Opportunities It Shares With Other Disciplines"
439,"Submission To The Department Of Industry Science And Resources Safe And Responsible Ai In
Australia Discussion Paper","Thank You For The Opportunity To Provide Our Views On The Safe And Responsible Ai Discussion Paper
Published 1 June 2023 The Discussion Paper
We Have Set Out In This Document Our Responses To Some Of The Questions Posed By The Discussion
Paper
As An Overview Our Key Comments Are As Follows
 Particularly As We Move Toward Decarbonisation It Is Critically Important For Australia To Strike The
Right Balance Between Managing Risk And Promoting Our Innovation And Productivity Agenda
 Clear And Efficient Regulation In Parallel With Sensible Government Initiatives Eg Regulatory
Sandboxes And Funding Is Required To Facilitate And Encourage Investment
 In Considering The Best Regulatory Approach And Policy Setting It Is Important To Acknowledge That
 Many Of The Harms Or Risks Being Experienced With Ai Today Are The Result Of The Lag
Between The Incredible Speed Of Ai Evolution And The Much Slower Development Of
Organisational Skills Understanding And Capability Surrounding Ai In Other Words Good
Intentioned Organisations Getting It Wrong An Efficient And Immediate Regulatory Response
To This Is Enhanced Guidance Support And Toolkits To Help Organisations To “Do The Right
Thing” And
 Australia’S Existing Multilayer And Technology Neutral Regulatory Framework Provides A Solid
Base From Which To Consider Management Of Potential Harms Across The Whole Ai Lifecycle
But There Are Challenges And There Are Shortcomings Within That Existing Set Of Regulations
Which Need To Be Addressed To Make Sure They Continue To Be Fit For Purpose
Consequently We Agree With The Approach Contemplated By The Discussion Paper That There
Needs To Be A Detailed Review Of Australia’S Existing Regulatory Framework To Identify Where
Regulatory Reform Is Required Given Current And Expected Ai Capabilities"
438,Stephan Jacobs,"Do You Agree With The Definitions In This Discussion Paper If Not What Definitions Do You Prefer And Why

An Effective And Riskbased Approach To Ai Regulation Focused On Ethics And Safety And Ultimately Public Trust Needs To Grapple With A Spectrum Of Ai Capability Such A Wide Range Of Systems Could Fit Within The Presented Definitions That They Are Unhelpful For Informing Policy And Risk Decisions By Analogy When The Government Regulates “Vehicles” It Uses Definitions To Distinguish Pushbikes From Passenger Jets And Then Applies Appropriate Regulations To Each Kind
While Including More Recent Developments Like Multimodal Foundation Modals Mfm Is A Helpful First Step The Paper’S Definitions Need To Capture A Spectrum Of Ai Capability To Allow A Meaningful Conversation The Following 6 Factors Help Define A Spectrum Of Capability
1 Size How Many Parameters
2 Specialised Vs General Capabilities
3 Multimodality The Types Of Data It Can Process
4 Temporal Awareness Is The Model Able To Reason About And Plan For Future Events
5 Active Vs Passive Is The Model Trained To Achieve Realworld Objectives Or Mimic Data
6 Power How Consequential Are The Decisions That Humans Have Trusted The Ai With

Without Understanding A Spectrum Of Capability It’S Impossible To Meaningfully Discuss The Risks Of Various Ais And Any Conversation Will Be Primed For Misunderstanding

To Expand On 6 Each Autonomous System Is Explicitly Given Certain Capabilities Generate Text Decide To Buy Or Sell Stock With Each Additional Capability Comes Certain Risks So The Level Of Consequence For Its Decisions Is An Essential Factor In Discussions About The Safety Of A Given System"
437,"Safe And Responsible Ai In Australia Discussion Paper
Adms Submission","Contributing Authors Zofia Bednarz Josemiguel Bello Y Villarino Jean Burgess Loup Cellard Tegan Cohen Henry Fraser Jake Goldenfein Timothy Graham Fiona Haines Paul Henman Nataliya Ilyushina Jenny Kennedy Jackie Leach Scully Dennis Leeftink Suvradip Maitra Rita Matulionyte Anthony Mccosker Robert Mullins Kelsie Nabben Christine Parker Thao Phan Flora Salim Aaron Snoswell Julian Thomas Melanie Trezise Libby Young Jacky Zeng 
Arc Centre Of Excellence For Automated Decisionmaking And Society About Adms
The Arc Centre Of Excellence For Automated Decisionmaking And Society Adms Is A Crossdisciplinary National Research Centre Which Commenced Operations In Mid 2020 Adms Has Been Established And Supported By The Australian Research Council To Create The Knowledge And Strategies Necessary For Responsible Ethical And Inclusive Automated Decisionmaking Adm Focus Areas For Adms Research Are News And Media Social Services Health And Transport Adms Brings Together Nine Of Australia’S Leading Universities And More Than 80 Researchers Across The Humanities Social And Technological Sciences Together With An International Network Of Partners And Collaborators Across Industry Research Institutions And Civil Society More Information About The Adms Our Researchers And Research Projects Can Be Found On Our Website Wwwadmscentreorgau"
436,"Department Of Industry Science And
Resources
Safe And Responsible Ai In Australia","We Welcome The Opportunity To Respond To The Discussion Paper On Supporting Responsible Artificial
Intelligence Ai As A Startup At The Forefront Of Ai Technology We Understand The Critical Importance
Of Addressing The Potential Risks Associated With Ai While Fostering A Safe And Responsible Ai
Environment In Australia
Ai Has Undoubtedly Brought Significant Advancements And Improvements To Various Aspects Of Our
Lives However The Rapid Pace Of Innovation In This Domain Has Also Raised Concerns And Uncertainties
About Its Potential Consequences We Believe That Effective Governance Mechanisms Are Essential To
Ensure The Development And Deployment Of Ai In A Manner That Upholds Privacy And Security
In Light Of The Governments Focus On Regulations Standards Tools Frameworks Principles And
Business Practices We Commend Their Commitment To Fostering Safe And Responsible Ai Practices In
The Country As A Stakeholder In This Ai Landscape We Are Eager To Share Our Perspectives And
Contribute To The Collective Effort To Mitigate Risks And Build A Secure And Thriving Ai Ecosystem
We Believe We Are In A Unique Position To Respond To This Discussion Paper As We Are An Ai Startup
With An Alternate View On Ai Systems And Technology Especially Surrounding Data And Privacy Risks
In A Range Of Business Environments
Once Again We Welcome The Consultation And The Opportunity To Respond On This Crucial Matter We
Look Forward To Collaborating With All Relevant Stakeholders To Promote The Responsible Use Of Ai In
Australia And To Collectively Address The Challenges And Opportunities That Ai Brings To Our Nation"
435,Ned Cooper,I Understand The Departments Pursuit Of Uniform Terminology To Ensure Clarity Of Discussion And Of Any Regulatory Response However I Recommend The Department Draws On The Uk’S Policy Paper ‘A Proinnovation Approach To Ai Regulation’ Which Avoids Narrow Technical Definitions And Instead Focuses On The Characteristics Of Artificial Intelligence Ai Motivating A Specific Regulatory Response Adaptivity And Autonomy There Is Unlikely To Be A General Definition Of Machine Learning Ai Etc That Will Receive Widespread Consensus During This Consultation Furthermore Even If Consensus Is Reached Precise Technical Definitions Are Susceptible To Change Due The Pace Of Research And Development In This Area
433,"Royal Australasian College Of Medical Administrators Racma Response To The
Australian Government’S “Safe And Responsible Ai In Australia” Discussion Paper","The Royal Australasian College Of Medical Administrators Racma Is Unique As A Provider Of Medical Management And Leadership Qualifications As It Is The Only Specialist Medical Educator Whose Programs Are Recognised For The Granting Of Specialist Registration In Medical Administration The Fellowship Training Program Offered By Racma Is Accredited By The Australian Medical Council And The New Zealand Medical Council Fellows Of Our College Are Recognised As Medical Specialists

Our Education Programs Are Aimed At Equipping Doctors With The Leadership And Management Skills Needed To Influence And Lead The Australasian Health Care Systems With The Clear Aim Of Improving Health Outcomes Of Australians And New Zealanders

The Value Of Racma Is Its Members Who Strive To Lead For Change And Positive Outcomes For All Australians New Zealanders And Peoples In All Parts Of The World In Which Their Members Practice Demonstrating Their Skills In Key Areas Such As System Leadership Clinical Governance Financial Management Workforce Management And Professional Leadership
Racma Members Fill Key Roles In All Aspects Of Health Including Government The Public Private And Notforprofit Sectors Their Roles Are Diverse Including Chief Executives Chief Medical Officers Heads Of Departments Clinical Informaticians And Academics Informing Influencing And Making Key Decisions About System Clinical Governance And Quality Including Clinical Informatics"
432,"Safe And Responsible Use Of
Ai In Australia
Medical Software Industry Association’S
Submission To
Department Of Industry Science Resources","Who The Medical Software Industry Association “Msia” Represents The Interests Of Over 165
Australian Companies To Enable A Vibrant More Efficient Effective Health System For Australians Msia
Members Provide Health Software To All Sectors Of Australia’S Healthcare1 Market To Enable The
Collection Delivery Management And Storage Of Health Information Including Administration And
Payment Systems Australia’S Healthcare Depends On Our Members Systems Which Are Integral To
Healthcare Delivery
What Digital Health Software Powers Healthcare Delivery Consumer Access And Importantly
Supports Major Reforms In Our Health And Care Sector
2
In Australia Health Software Has Genuinely
Replaced The Stethoscope As The Most Important Single Tool For Clinicians And Plays An Increasingly
Important Role In Australia’S Health Equityi3 Productivity4
 Economy5
 And Export With Significant Future
Potential6
Why We Are Responding The Use Of Ai7
Is Well Established In The Health Industry Examples Include
General Practice Clinical Information Systems Which Routinely Include It For Drug Interaction Checks
8
Suggestions For Preventative Health9 And Logic To Improve Medicare Compliance
10 This Early Adoption
In Health Which Is Arguably One Of The Most Highrisk Areas Makes Healthcare A Useful Area To Focus
On In An Assessment Of Ai Regulation Virtually Every Interaction Demands A Balancing Of Risks And
Benefits To Humans And Sometimes Communities By All Participants This Calibration Demands A
Regulatory Framework Which Reflects The Full Scale Of Risks And Benefits And Will Avoid Retrospective
Overregulation Of Existing Safe Evidencebased Applications Of Ai
The Msia Advocates For Riskbased Regulation11 Together With
Transparency – So That The Provenance Of Ai Outputs Is Appropriately Managed In A Riskbased
Framework Where The Risks Are Higher The Onus To Be Able To Present Information For An Audit Trail
May Be Required Versus Simple Lowrisk Tasks12
For Instance In The Simple Examples Of Ai Use Provided Above The Provenance May Be Guidelines From The Australian Commission For Safety And
Quality In Health Care “Acsqhc” In Areas Of Serious Risk Say Surgery An Audit Trail May Be
Required"
431,"Joint Submission From Library And Information
Servicerelated Organisations To The Safe And
Responsible Ai In Australia Discussion Paper","Libraries And Information Services Have Three Major Points Of Interaction With Ai Including Generative
Ai Tools
• As Providers Of Education And Support To People Seeking To Understand And Use These Tools
• As Custodians Of Cultural Collections And Users Of Ai Tools
• As Experts And Participants In The Wider Information Ecosystem Including Key Areas Such As
Academic And Trade Publishing
This Submission Addresses These Areas Identifying Needs And Areas Of Uncertainty And Then Concludes
With A Discussion On Policies And Standards The Submission Does Not Go Into Depth With The Many
Issues Already Well Identified In The Discussion Paper And Other Sources Around Ethical And Practical
Concerns With The Technologies Including Bias Transparency And Privacy
In Developing Our Response To The Discussion Paper We Are Guided As Library And Information Services
Organisations By Our Commitment To Fundamental Principles Including Equity Of Access To Information
Knowledge And Culture Respect For The Individuality And Diversity Of People Preservation Of The Human
Record And The Protection Of Privacy1
In Line With These Values And To Effectively And Safely Harness
The Benefits Of Generative Ai We Recommend The Following
1 Priority Is Given To Improving Literacy Including Ai Information And Media Literacy Across The
Australian Population
2 A Commitment Is Made To Uphold Human Rights Ensuring Fairness And Centring Ethical
Considerations2
In The Development And Use Of Generative Ai Tools
3 Regulations Policy Standards And Guidelines Should Be Created In Consultation With Key
Stakeholders Including Library And Information Professionals Representatives Of Minority Or
Vulnerable Groups And First Nations People"
430,"Regulating Aigenerated Content
A Lowtech Solution To A Hightech Problem","This Document Sets Out Epiphany Law’S Response To The Discussion Paper Released By The
Department Of Industry Science And Resources In June 2023 Entitled ‘Safe And Responsible Ai
In Australia’ The ‘Discussion Paper’1
 In Summary
A We Agree That Ai Technologies Present Australia With Both Risks And Opportunities
Epiphany Law Endorses The Position Of The Department Of Industry Science And
Resources That ‘T]He Safe And Responsible Deployment And Adoption Of Ai Presents
Significant Opportunities For Australia To Improve Economic Outcomes’2
 While Also
Concluding That ‘The Increased Application Of Ai Raises The Potential For Significant Risks’3
B We Favour The European Approach To Ai Regulation
It Is Impossible To Predict The Pace Or Direction Of The Development Of Ai Technologies
Or How People Will Seek To Deploy Them In The Real World Further Perhaps More Than
Any Other Technology In History Ai Has The Capacity To Rapidly Transform Our Society As
Such We Favour The European Approach Which Establishes A Framework For Handling Risk
And Then Allows Governments To Consider New Applications On A Casebycase Basis
C We Believe That Misleading Aigenerated Content Poses A Pressing And Real Threat To
Our Society
In Our View The Most Pressing Risk Posed By Ai To Australian Society Lies In Aigenerated
Content Such Content Has The Potential To Cause Significant Harm To Individuals And To
Erode Social Trust In Our Leaders And Democratic Institutions These Risks Need To Be
Addressed As A Matter Of Priority Because Failure To Do So Will Impede Our Ability As A
Society To Take Advantage Of The Opportunities And To Address The Other Risks Posed By Ai
D In Our View The Mostdiscussed Measures To Address The Issues Posed By Aigenerated Content Are Inadequate
We Believe That The Measures Used To Address The Risks Posed By Aigenerated Content
That Are Discussed Most Often Ie Widespread Education On Ai Literacy Provenance
Measures Such As Watermarking And Ai Detection Tools Are Worthwhile But Cannot Be
Relied Upon To Address The Identified Risks Sufficiently E We Propose A Lowtech Statutory Regime To Deal With The Identified Issues
We Therefore Call For The Implementation Of A Lowtech Statutory Regime That Utilises
Existing Social Capital To Ensure That Australians Can Continue To Trust In The Content That
They Consume This Solution Is Outlined In Section 12 Below We Attach A Draft Of The
Proposed Legislation As A Starting Point For Further Consideration"
429,"Pexa Submission
Supporting Responsible Ai
Discussion Paper","Property Exchange Australia Ltd Pexa Is Pleased To Have The Opportunity To Make A Submission To
The Federal Government’S Consultation On The Proposed Supporting Responsible Ai Discussion Paper
We Thank The Federal Government For Granting An Extension To Pexa So We Could Contribute To This
Important Topic
As The Landscape Of Ai Rapidly Evolves It Is Essential To Strike A Balance Between Embracing Its
Potential For Economic Growth And Improving Lives While Mitigating The Risks Associated With Its
Adoption
Australia Has Begun To Build Strong Foundations In The Realm Of Responsible Ai With The Creation Of
The Government’S Artificial Intelligence Ethics Framework This Has Established Voluntary Ethics
Principles To Guarantee The Safe Secure And Reliable Implementation Of Ai Applications At Pexa
We Have Begun Introducing Our Own Ai Policy And Ethical Data Framework As Ai Innovation
Accelerates We Recognise The Need To Further Enhance Our Approach To Safeguarding The Property
Industry Pexa Firmly Believes That Striking The Right Balance Between Innovation And Accountability
Will Foster Public Trust In Ai And Enable Australia To Fully Harness The Benefits These Transformative
Technologies Offer Pexa’S Expertise In The Property Industry Insights And Perspectives Are Vital In
Cocreating A Future Where Ai Truly Serves The Best Interests Of Our Nation"
